"Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"527",16990.7524377445,4.32046056493156,0.155266111629701,27.8261657974379,2.09312636420508e-170,4.64129839998835e-166
"7917",20912.1975994836,3.76609853207936,0.149159713771325,25.2487648095995,1.16849862987865e-140,1.29551443094646e-136
"6189",4805.57827083937,-4.50483523234973,0.190098386242034,-23.6973880810022,3.83635055385464e-124,2.83557457270576e-120
"84274",2590.68472564017,4.13548406055897,0.175355555550051,23.5834219656565,5.70273166380143e-123,3.16130929782833e-119
"8131",18681.1418517911,5.55022900194235,0.262632675659308,21.1330482317524,3.95193082216926e-99,1.75260228101562e-95
"10444",10531.5366125542,3.87678970778682,0.188007991888956,20.6203452780699,1.80267432837944e-94,6.6620834262476e-91
"102725180",867.016499488109,3.81021826933969,0.192294355549174,19.8145091594502,2.23173578134106e-87,7.06950131649382e-84
"8337",7339.53649040629,3.05617938832708,0.15692050563906,19.475972090969,1.75560112838378e-84,4.86608742759775e-81
"8347",4981.34597283838,2.62171401690521,0.138091274622734,18.9853705389261,2.25341029702542e-80,5.55190221402684e-77
"83719",4778.07746205682,3.39019628966022,0.178710664003493,18.9703077237403,3.00144487496412e-80,6.65540386574544e-77
"55466",974.29621601163,3.98937255407293,0.212205784894606,18.7995466572897,7.61645659987686e-79,1.53533916950609e-75
"160",11643.5034295061,3.60327735658305,0.192052336440312,18.7619553261874,1.54606034326025e-78,2.85686183762106e-75
"27090",3219.01347116245,5.23309048726009,0.279749455298085,18.7063473695918,4.39483262046823e-78,7.49623219432789e-75
"197342",652.643889187513,3.59083877104251,0.194345430693029,18.4765793475962,3.18761015037456e-76,5.04871910531468e-73
"81858",2459.79256977672,3.80190169895273,0.20656428133866,18.405416823829,1.18866509071215e-75,1.75716398143008e-72
"3312",4376.2158066345,-3.2403576244993,0.179686119411331,-18.0334331617547,1.06470781773263e-72,1.47555194690021e-69
"2907",8740.75832107416,4.18291281818942,0.233472579926762,17.916077423317,8.83419715919349e-72,1.15229110475268e-68
"4636",891.609466744175,3.76715396639107,0.211171590752935,17.8393028766759,3.50035598085253e-71,4.16939501066862e-68
"9921",47702.8158983805,4.70132517524141,0.263554356927141,17.8381614709602,3.57258524410137e-71,4.16939501066862e-68
"115330",1967.19645332268,5.57954289037276,0.316904290723574,17.6063974319604,2.20009848121699e-69,2.43924918612528e-66
"83547",1517.33720701823,4.13996647416811,0.237091067610949,17.4615033619129,2.81424280171864e-68,2.97157237549091e-65
"92745",5599.57258491619,5.92915064412532,0.340474857633382,17.4143567761169,6.42064313325799e-68,6.47142458349376e-65
"723790",5837.86439148186,3.00523846453056,0.172632937619196,17.4082565353762,7.14261915900926e-68,6.5991848846613e-65
"128312",487.661499130389,4.06657312827669,0.233579014063521,17.409839426631,6.94785219507528e-68,6.5991848846613e-65
"63891",6251.52903129355,4.16250173879499,0.239259191516457,17.3974580136817,8.62462204545902e-68,7.64969476944033e-65
"340024",620.2801710844,8.60735359576572,0.498744769990877,17.2580327928515,9.737208253411e-67,8.3043406081206e-64
"5606",58318.9183806085,5.16063653660517,0.301728957833229,17.1035507286561,1.39631990805062e-65,1.14674065337461e-62
"55362",4183.77212759714,5.06328698971107,0.296640605830193,17.0687589298191,2.53532222858508e-65,2.00779411059449e-62
"79065",3155.63424292977,2.8885207708671,0.169762221846581,17.0150975844174,6.34673816304689e-65,4.85284731128972e-62
"83715",6041.37035574911,6.91249773378577,0.409363673071519,16.8859578621626,5.70822937440454e-64,4.21914260493487e-61
"22934",3182.77947173191,4.13761265902215,0.245315657004351,16.866484225052,7.9382768749958e-64,5.67817262665022e-61
"57104",8955.2215577628,4.05181037451479,0.244188222302171,16.5929803506283,7.83347782296538e-62,5.42811053895108e-59
"54435",193.859701776911,6.63374473585102,0.400235761143057,16.5745927273098,1.06381207674723e-61,7.14817242114944e-59
"23770",194992.685344292,5.84815622686562,0.353035468379112,16.5653503703642,1.2405540990796e-61,8.09060193911501e-59
"2987",22343.1165686081,5.13660346790779,0.311386435327382,16.4959127474751,3.92582392679863e-61,2.48717770722379e-58
"84179",1306.97779483418,3.3387933674137,0.204060782578,16.361759105464,3.58617328464219e-60,2.20888351149044e-57
"7052",613.885515215682,4.60424016359225,0.283817214582792,16.2225542603553,3.493586598579e-59,2.09369700640245e-56
"51094",59812.1618487608,5.10097777604382,0.314477238560357,16.2204991349948,3.6124705610284e-59,2.10797163737484e-56
"55652",1743.46602932357,3.43646978628555,0.212898981784411,16.1413162124252,1.30723640617451e-58,7.4324769411573e-56
"51024",1629.3577037534,2.46340927251866,0.15309784897312,16.0904237978625,2.97791943185576e-58,1.65080963704924e-55
"23608",38941.5432611106,4.16936744004563,0.26033968408623,16.0151052448257,1.00236980261627e-57,5.42110926907636e-55
"2123",619.504231034107,-5.33379627209022,0.333589434797955,-15.9891043171698,1.52203607652671e-57,8.03562570497699e-55
"64407",1886.79316288801,-4.34612240708294,0.275138846691416,-15.7961060727908,3.30937220285062e-56,1.70655858665139e-53
"352962",191.671435483683,7.86401570977036,0.499343850403033,15.7486984237878,7.01094891335538e-56,3.53319957283505e-53
"3727",11305.2389082656,3.23807896915492,0.206659117244037,15.6686964133848,2.4760578838114e-55,1.2200912781252e-52
"6129",1536.76501967663,-4.4883898532468,0.289535618881668,-15.5020300113099,3.36102717868839e-54,1.61941310015993e-51
"6710",6126.43991425814,3.50027335628376,0.225814209784359,15.5006780114783,3.43250724756548e-54,1.61941310015993e-51
"255193",539.015886257263,3.65410504563986,0.238464978858099,15.3234452418871,5.33150269925928e-53,2.46293210111198e-50
"6230",946.560582318247,-3.25994647555544,0.21320097446205,-15.2904858140585,8.84875869100979e-53,4.00433418805002e-50
"8338",3984.54077391392,2.66154907977591,0.174088500545544,15.2884829924744,9.12510305940134e-53,4.04680070478331e-50
"101927793",391.011895803142,3.23815079501602,0.212330515572176,15.2505200973587,1.63326960021102e-52,7.10120002256452e-50
"1520",10882.7975347129,-3.23767274489766,0.212758487955537,-15.2175961392162,2.70281104553991e-52,1.15254100238081e-49
"6160",878.7064419648,-3.4104330756819,0.224730045646706,-15.1756880833077,5.12375938669335e-52,2.14366491774601e-49
"3646",681.888852688826,-4.06058490894566,0.268494166561467,-15.1235498370355,1.13268406740048e-51,4.65113639084043e-49
"91300",98112.7709882364,5.094730627877,0.338818872954849,15.0367380171172,4.21829913553563e-51,1.70066481875213e-48
"6256",11594.3525610531,2.09012851272561,0.139356351002863,14.9984446183057,7.51600230952109e-51,2.97606848591644e-48
"4485",420.834405521309,3.41424700573675,0.22847988631393,14.9433154087166,1.72190693688551e-50,6.69852007342092e-48
"149603",4874.314682405,3.04933105297699,0.204164623074675,14.9356485323203,1.93185410746052e-50,7.38567809979822e-48
"128989",2749.43816540464,2.20395718200833,0.148047903750926,14.8867841162834,4.01628075442999e-50,1.50944083811408e-47
"255043",1305.39526052908,4.6224252360715,0.31057742618087,14.8833264957884,4.22937149075402e-50,1.56303472393299e-47
"83606",12867.7343167719,3.65659469429365,0.24579979437642,14.8763130724752,4.69678882561368e-50,1.70732123637964e-47
"2870",9558.42773690312,2.01353740500197,0.135728140257507,14.8350769500107,8.69042184789488e-50,3.10808732347131e-47
"114990",828.380032726652,3.1707542342495,0.21383653072192,14.8279352622534,9.66605929188034e-50,3.40214601171674e-47
"2768",4118.85871473267,3.00630616646249,0.203838669816837,14.7484585194942,3.14772390040646e-49,1.09058796511895e-46
"5045",14449.5178150939,3.14901867968335,0.214097656814188,14.70832855689,5.69979158335246e-49,1.94441813183473e-46
"8531",26670.7667349737,5.16158987691306,0.350999110084427,14.7054215484237,5.94992429826753e-49,1.99899426348158e-46
"10092",2953.07839138657,-2.28742229926261,0.156307305873285,-14.6341355350144,1.70124217440978e-48,5.63034984706903e-46
"9369",258.206038428109,7.33693042269595,0.50256481147814,14.5989736151972,2.85105302570555e-48,9.29694849882276e-46
"84932",3734.81238292906,4.41225751730533,0.302299651242876,14.5956421026777,2.99380650681805e-48,9.62096601191063e-46
"9051",3240.35964530551,2.01488005435909,0.138272757238296,14.571778957779,4.24686092914541e-48,1.34528420346958e-45
"3029",2853.94795526767,4.28124252208301,0.293871916198477,14.5683962505336,4.46244345766834e-48,1.39366508775124e-45
"2623",1500.77897613077,4.30687606930096,0.296220576996875,14.5394223215843,6.81654566341695e-48,2.09930671584177e-45
"9911",6959.78305491048,5.53673444274251,0.383606057661355,14.4333863664643,3.19024920950715e-47,9.69049122898788e-45
"9123",7142.96294087494,2.33699364269413,0.161997939661941,14.4260701560217,3.54724849351737e-47,1.06292821750344e-44
"1933",937.135841794713,-3.03388972263186,0.210532192152209,-14.4105739441427,4.4400527767064e-47,1.31271640360917e-44
"11152",2093.0974746097,2.68644717923094,0.186768794063433,14.3838117748864,6.53915337797714e-47,1.90788403951665e-44
"84232",4023.85574067093,2.83221696938699,0.197101073529827,14.3693634878067,8.05683064739476e-47,2.32015795812119e-44
"100526842",852.087679211626,-3.98813918117124,0.277824995037616,-14.3548609822931,9.93244910753572e-47,2.82361700654483e-44
"997",7369.36731795058,4.84202984891787,0.337503145094991,14.3466214146096,1.11855156902775e-46,3.13959018881282e-44
"11345",4198.01192796657,2.53636534982566,0.177066926552521,14.324331478546,1.54204824625799e-46,4.27417222656558e-44
"2125",104.356816352095,5.52235857418108,0.38631984628617,14.2947835252822,2.35837993907611e-46,6.45613787272515e-44
"10347",5993.43897562133,2.57942935081838,0.180491869267101,14.2911110693923,2.4861109476571e-46,6.72280782357908e-44
"105373386",580.054086155565,3.84934480881243,0.269460979467195,14.2853515058979,2.7004349137951e-46,7.21439081668586e-44
"10169",5569.45352132964,3.34801533405113,0.234776715915796,14.2604232323103,3.8610574143999e-46,1.01922722746314e-43
"56172",3426.98058117051,3.1366889488153,0.220539687965016,14.2227867362942,6.61647316507661e-46,1.72604324661657e-43
"805",1931.3095364713,-3.06719585738099,0.216273830550187,-14.1820018149132,1.18419689248232e-45,3.05330022022128e-43
"4059",478.844071222772,7.73272778207552,0.545560365823115,14.173917803594,1.32875743910891e-45,3.37974102041053e-43
"80781",2834.45094196991,2.90298636679748,0.204821375418674,14.1732588254693,1.34128803912748e-45,3.37974102041053e-43
"284004",1126.67843571321,2.20835602153244,0.155847580881671,14.1699730534102,1.40554436702634e-45,3.50185851622945e-43
"440359",87.0669770084532,4.90537063976836,0.348935765481598,14.0580907004417,6.87151896783553e-45,1.69298957325317e-42
"100529067",1923.62700157263,3.59911517616146,0.256198176178647,14.0481686085532,7.90519938518316e-45,1.92626254029727e-42
"23145",208.578744543327,3.41620851446169,0.243206714002039,14.0465222289589,8.09109439301606e-45,1.95012964207324e-42
"2512",33649.2477882607,2.5912094357381,0.184620442490574,14.0353332533606,9.47499850874217e-45,2.25912491325644e-42
"7915",1440.53172129628,3.90919750419014,0.279677776705246,13.9775049352958,2.13854738976524e-44,5.04469678943133e-42
"146705",1008.17709283138,2.49887604304547,0.179064723713286,13.9551553830703,2.92663200936072e-44,6.83106717637522e-42
"3936",18812.4209909785,-2.17834052404778,0.156154159258574,-13.9499359760293,3.14887934767318e-44,7.27325527659427e-42
"101927267",404.712417423583,6.71049889723878,0.48183577910099,13.9269418924415,4.34567624610982e-44,9.93412629703496e-42
"162466",14434.225403734,3.85213891597411,0.276784390634174,13.9174716722572,4.9614653361089e-44,1.1226074730906e-41
"5526",1167.26458431071,3.41577752887423,0.245640264740573,13.9056092146852,5.85660626187014e-44,1.31176148738089e-41
"107986599",350.277223478354,4.79548412700148,0.345534036327233,13.8784710703868,8.55493452551074e-44,1.89697118168675e-41
"2039",48690.4456281967,5.74356790538623,0.416911194731102,13.7764780077222,3.5308215335795e-43,7.75172640451404e-41
"3257",7838.72975510608,3.70065083476057,0.268980152549991,13.7580814036931,4.55453882621918e-43,9.90121018946903e-41
"220972",22077.3146354905,3.92974342262052,0.286377992832066,13.7222255933784,7.47355838786698e-43,1.60891925915109e-40
"102464833",331.44645229858,3.39337013581967,0.247478361366593,13.7117852125788,8.63078313070731e-43,1.840182549426e-40
"57567",1901.70448817519,2.19506806434567,0.160159889067987,13.705479425088,9.41434118796585e-43,1.98812953811386e-40
"4833",872.868471228869,4.29236585636067,0.313441258092697,13.6943230845866,1.09778634375607e-42,2.2964447534384e-40
"27343",2228.4382463321,3.384074181111,0.247337765881109,13.6819954245793,1.30073560182352e-42,2.6955617976481e-40
