"GeneID","Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
115701,"ALPK2",35.0525612532381,5.41288008722318,1.08010223462851,5.0114516141936,5.40209675701085e-07,0.00613543139177508
105379549,"LOC105379549",770.450366796861,7.44678641520623,1.47748964083743,5.04016150731553,4.65139139536083e-07,0.00613543139177508
7137,"TNNI3",29.2057084362804,5.5273250538019,1.15171525521849,4.79921146199745,1.59291541088109e-06,0.009045768389541
27319,"BHLHE22",120.237598862432,-2.30713932100313,0.475369687059514,-4.85335809961793,1.21388208435487e-06,0.009045768389541
105379507,"LOC105379507",860.242205403783,6.28587555917591,1.3803808743287,4.55372547973967,5.27041238846921e-06,0.0239434834808156
2012,"EMP1",195.95338661047,2.1701523636901,0.49034738042461,4.42574478895122,9.61100989164664e-06,0.0311877270983933
8091,"HMGA2",38.8969314466919,5.50537489667431,1.23513414127469,4.45730930163799,8.29948117286603e-06,0.0311877270983933
5054,"SERPINE1",642.617074023216,5.61575684908758,1.29787363123668,4.32689031807866,1.51229218391761e-05,0.0429396461971106
133,"ADM",153.268752256939,3.146320078034,0.734887406463172,4.2813634447438,1.857516951757e-05,0.0436379191057107
4288,"MKI67",65.394988208909,4.52028155865682,1.05765580485634,4.27386824513368,1.92110583780368e-05,0.0436379191057107
5816,"PVALB",126.01751316191,-2.60528679106453,0.615735029258189,-4.23118170522679,2.32466779534136e-05,0.0480043899737992
6492,"SIM1",17.1227056631837,4.96999061546967,1.18656443022931,4.18855520092507,2.80736028666091e-05,0.0495245288242246
8318,"CDC45",15.4373721307503,4.18315690303984,1.00240768841021,4.17310935600883,3.00470631537497e-05,0.0495245288242246
9052,"GPRC5A",41.1806659847,3.68592605547331,0.88401594367931,4.16952440940414,3.052359249567e-05,0.0495245288242246
201617,"LINC00870",18.1025913810306,2.21490260540432,0.540842998529135,4.09527831815872,4.21661529447444e-05,0.063853610942658
2494,"NR5A2",12.0532739635321,3.90675731808871,0.967328356806761,4.03870856322797,5.3746292543887e-05,0.0763029396958996
345630,"FBLL1",94.1486206456037,-1.37519364495521,0.342077999535365,-4.02011718620634,5.81691994603692e-05,0.0777243156318991
4605,"MYBL2",17.8811440859415,4.54496795939469,1.14064064733267,3.98457478262139,6.76010662357206e-05,0.0853087899746885
3833,"KIFC1",21.089892942742,3.22233510839901,0.821621685538894,3.9219207149888,8.7845900452903e-05,0.0997709814393845
9833,"MELK",17.2367746767787,4.05848561410278,1.03424069877698,3.92412097000444,8.70469898026812e-05,0.0997709814393845
29125,"C11orf21",12.3605761735439,2.72533624279112,0.697501860818647,3.90728168035629,9.33403154557623e-05,0.10096310788465
252995,"FNDC5",238.556945803641,-1.17809060939051,0.304076999415268,-3.87431674100951,0.000106924269899088,0.110399308670808
4151,"MB",39.186378174385,4.12146525777162,1.07270312878521,3.84213035943971,0.000121971021949386,0.120459641894796
9928,"KIF14",19.1518371182839,3.40640884114615,0.889254129966376,3.83063595248633,0.000127812490022692,0.12096919628606
4593,"MUSK",27.5998028965582,1.81525100685516,0.475564533056399,3.81704454532964,0.000135059793101977,0.122715328012456
55355,"HJURP",18.567231260687,4.44249697469374,1.17169986961321,3.79149737053418,0.000149741734073097,0.130822441902707
3213,"HOXB3",33.8991656396257,3.62984667882181,0.963845905863733,3.7660031097699,0.000165881726168761,0.139555681849015
